url,headline,summary
https://www.bbc.com/news/articles/cpv44982jlgo,International development minister quits over aid cuts,International Development Minister Anneliese Dodds has resigned over the prime minister's cuts to the aid budget.
https://www.bbc.com/news/articles/cedll3282qzo,Faisal Islam: US-UK deal isn't really about trade - it's about avoiding tariffs,The US-UK trade deal warmly suggested by President Donald Trump should help insulate the UK from the direct impact of global trade tensions.
https://www.bbc.com/news/articles/cn7vvn1mpz5o,"Two bailed after dog attack that killed woman, 19",Two people have been released on bail following a dog attack that killed a 19-year-old woman.
https://www.bbc.com/news/articles/cjry84d5jq5o,Cancer patients 'may starve' without vital drug,"Cancer patients and others with debilitating conditions have highlighted shortages of a vital drug they say have had a ""devastating"" impact on their lives."
https://www.bbc.com/news/articles/cj3nn4rlxz5o,Wild beaver release approved for England,Beavers will be released into the wild in England after the government approved their reintroduction.
https://www.bbc.com/news/articles/cedll3282qzo,Faisal Islam: US-UK deal isn't really about trade - it's about avoiding tariffs,The US-UK trade deal warmly suggested by President Donald Trump should help insulate the UK from the direct impact of global trade tensions.
https://www.bbc.com/news/articles/cd7ee895nr0o,GPs strike deal to help end '8am scramble' for appointments,"Patients will be able to book more appointments online and request to see their usual doctor under a new contract agreed with England's GPs, the government has said."
https://www.bbc.com/news/articles/cz9nnz2eqzdo,Lloyds Bank says app issues fixed after payday IT issue,Banking apps have once again been hit by IT issues on payday in the UK.
https://www.bbc.com/news/articles/cn7vvn1mpz5o,"Two bailed after dog attack that killed woman, 19",Two people have been released on bail following a dog attack that killed a 19-year-old woman.
https://www.bbc.com/news/articles/c3vwwq260gdo,PC leaked details of Nicola Bulley investigation,A former police officer has been sentenced after sharing information with her family about the Nicola Bulley investigation.
https://www.bbc.com/news/articles/cdelld75wgro,"Lighthouse fog alarm sounding 'all day, all night'",People living near Land's End have been advised to buy earplugs due to a lighthouse's broken fog alarm.
https://www.bbc.com/news/articles/cp3yz40r2zyo,Cash access protection urged: 'It makes me feel independent',Leading disability charities have called on the government to ensure that people will continue to be able to use physical cash in shops.
https://www.bbc.com/news/articles/c2344p7nz05o,"Auto-enrol eligible pupils for free school meals, say MPs","Children from poor households should be enrolled for free school meals automatically to prevent thousands going hungry, a report by MPs has found."
https://www.bbc.com/news/articles/c5yxx0jv15ro,Killed for wanting a new life: Who was Rania Alayed?,"With police revealing human remains have been found in the search for missing Rania Alayed, a 12-year quest for the truth appears to be finally drawing to a close."
https://www.bbc.com/news/articles/cly44r4pvd5o,"'I've lost 4,500 sheep to thieves on Dartmoor'","""It's beginning to feel like the Wild West up here when it comes to sheep crime - it's soul-destroying,"" says farmer Colin Abel, scanning his flock high up on west Dartmoor farmland. "
https://www.bbc.com/news/articles/ce30nrnpwygo,The island split over where to build a new high school,"For decades, children on Mull have been divided by the location of the island's only high school."
https://www.bbc.com/news/articles/c99nnkgk3g9o,'Charmer Starmer' with the 'Trump card',
https://www.bbc.com/news/articles/cz9nnkkep29o,Weekly quiz: How did the UK's oldest horse celebrate her birthday?,"This week saw Germany electing a new chancellor, planets lining up in the sky and Hollywood's Gene Hackman dying at 95."
https://www.bbc.com/news/articles/cly4403gjxdo,Trump could meet King in Scotland to plan state visit,US president Donald Trump has been invited to meet King Charles in Scotland to discuss an unprecedented second state visit to the UK.
https://www.bbc.com/news/articles/c0eggr9gg0go,Murder investigation launched over Dungannon death,"A murder investigation has been launched after a man was found dead in a flat following a serious assault in Dungannon on Thursday, police have said. "
https://www.bbc.com/news/articles/cjd3n9j9knro,'My hand twin made my new fingers when I lost them to sepsis',Warning: This story contains pictures some viewers may find disturbing
https://www.bbc.com/news/articles/c3vwwq260gdo,PC leaked details of Nicola Bulley investigation,A former police officer has been sentenced after sharing information with her family about the Nicola Bulley investigation.
