Model Name,Timestamp,MAE,RMSE,R2,Training Size,Test Size,Epochs,Cat Names,Cont Names,Unnamed: 10,Training Rows
stockScreenerV1.0,2025-01-26 11:04,0.45,0.887,-0.327,300,200,35,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.1,2025-01-26 11:53,0.401,0.91,-2.938,300,200,25,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.2,2025-01-26 12:32,0.477,0.642,-0.616,300,200,30,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.3,2025-01-26 14:46,0.441,0.561,-0.297,300,200,23,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.4,2025-01-26 16:38,0.586,3.969,-76.743,300,290,25,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.5,2025-01-26 17:19,0.542,0.797,-0.313,300,10,3,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.6,2025-01-26 21:33,0.4,0.636,-0.108,1000,200,25,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.7,2025-01-27 08:45,0.328,0.739,0.077,1200,174,30,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.8,2025-01-27 12:25,0.363,0.78,-0.007,1400,394,33,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.9,2025-01-27 18:40,0.37,0.632,-0.053,2000,500,36,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV1.10,2025-01-27 19:32,0.405,0.688,-0.165,2000,392,43,['Industry'],"['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV2.0,2025-01-28 16:42,0.371,0.605,-0.081,200,200,20,"['Industry', 'Date']","['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV2.1,2025-01-28 20:05,0.437,0.692,-0.314,500,200,16,"['Industry', 'Date']","['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,
stockScreenerV2.2,2025-01-28 20:39,0.400,1.232,-0.003,1000,246,20,"['Industry', 'Date']","['Open', 'Close', 'Volume', 'Dividends', 'Stock Splits', 'EV/EBIT', 'ROIC']",,756286.0
